,animal,s,stimulus,index,value
387,11,3,squeakCTRL,7,8450
388,11,3,squeakCTRL,8,8665
389,11,3,squeakCTRL,9,8878
390,11,3,laserHI,0,2914
391,11,3,laserHI,1,3179
392,11,3,laserHI,2,3666
393,11,3,laserHI,3,4096
394,11,3,laserHI,4,4447
395,11,3,laserHI,5,4898
396,11,3,laserHI,6,5294
397,11,3,laserHI,7,5684
398,11,3,laserHI,8,5957
399,11,3,laserHI,9,6629
400,11,3,laserLO,0,2730
401,11,3,laserLO,1,3424
402,11,3,laserLO,2,3823
403,11,3,laserLO,3,3954
404,11,3,laserLO,4,4596
405,11,3,laserLO,5,4732
406,11,3,laserLO,6,5156
407,11,3,laserLO,7,5828
408,11,3,laserLO,8,6120
409,11,3,laserLO,9,6464
410,11,3,laserCTRL,0,3033
411,11,3,laserCTRL,1,3298
412,11,3,laserCTRL,2,3526
413,11,3,laserCTRL,3,4215
414,11,3,laserCTRL,4,4318
415,11,3,laserCTRL,5,5018
416,11,3,laserCTRL,6,5413
417,11,3,laserCTRL,7,5516
418,11,3,laserCTRL,8,6229
419,11,3,laserCTRL,9,6331
420,12,1,shock,0,465
421,12,1,shock,1,689
422,12,1,shock,2,914
423,12,1,shock,3,1138
424,12,1,shock,4,2736
425,12,1,shock,5,1476
426,12,1,shock,6,1811
427,12,1,shock,7,2036
428,12,1,shock,8,2261
429,12,1,shock,9,2373
430,12,1,shockCTRL,0,352
431,12,1,shockCTRL,1,576
432,12,1,shockCTRL,2,802
433,12,1,shockCTRL,3,1027
434,12,1,shockCTRL,4,1363
435,12,1,shockCTRL,5,1588
436,12,1,shockCTRL,6,1700
437,12,1,shockCTRL,7,1924
438,12,1,shockCTRL,8,2148
439,12,1,shockCTRL,9,2485
440,12,1,squeak,0,7603
441,12,1,squeak,1,7818
442,12,1,squeak,2,8032
443,12,1,squeak,3,8246
444,12,1,squeak,4,8353
445,12,1,squeak,5,8674
446,12,1,squeak,6,8889
447,12,1,squeak,7,9102
448,12,1,squeak,8,9317
449,12,1,squeak,9,9530
450,12,1,squeakCTRL,0,7497
451,12,1,squeakCTRL,1,7711
452,12,1,squeakCTRL,2,7925
453,12,1,squeakCTRL,3,8139
454,12,1,squeakCTRL,4,8460
455,12,1,squeakCTRL,5,8567
